name,position,final_average_adp
Jahmyr Gibbs,RB,2.2
Bijan Robinson,RB,2.6
Saquon Barkley,RB,2.6
Derrick Henry,RB,2.7
Ja'Marr Chase,WR,4.9
Lamar Jackson,QB,6.2
James Cook,RB,8.3
Josh Jacobs,RB,9.5
De'Von Achane,RB,10.0
Kyren Williams,RB,11.0
Brock Bowers,TE,12.5
Jonathan Taylor,RB,14.7
George Kittle,TE,14.7
Trey McBride,TE,15.6
James Conner,RB,15.9
Alvin Kamara,RB,16.9
Chuba Hubbard,RB,18.1
Joe Mixon,RB,18.3
Bucky Irving,RB,18.4
Chase Brown,RB,18.6
Breece Hall,RB,19.5
David Montgomery,RB,23.5
Baker Mayfield,QB,23.6
Josh Allen,QB,24.6
Joe Burrow,QB,25.0
D'Andre Swift,RB,27.3
Jayden Daniels,QB,27.9
Najee Harris,RB,28.3
Rico Dowdle,RB,30.8
Brandon Aubrey,PK,30.9
J.K. Dobbins,RB,31.2
Tony Pollard,RB,31.5
Cameron Dicker,PK,31.6
Rachaad White,RB,35.0
Zach Charbonnet,RB,37.8
Tyrone Tracy Jr.,RB,37.8
Ka'imi Fairbairn,PK,38.2
Mark Andrews,TE,38.5
Travis Kelce,TE,39.4
Rhamondre Stevenson,RB,39.7
Jason Sanders,PK,40.1
Kenneth Walker III,RB,41.5
Justin Jefferson,WR,42.2
Brian Robinson Jr.,RB,43.0
Amon-Ra St. Brown,WR,43.5
Sam LaPorta,TE,44.7
Jake Elliott,PK,46.7
Daniel Carlson,PK,47.1
Justin Tucker,PK,47.4
Tyler Bass,PK,47.7
Pat Freiermuth,TE,48.7
Brian Thomas Jr.,WR,49.0
Jake Moody,PK,54.2
Younghoe Koo,PK,54.4
Javonte Williams,RB,55.5
Bo Nix,QB,56.2
Harrison Butker,PK,58.1
Evan McPherson,PK,58.2
Alexander Mattison,RB,59.0
Jared Goff,QB,61.8
Ray Davis,RB,63.9
Jerome Ford,RB,64.3
Jordan Mason,RB,64.3
Terry McLaurin,WR,65.4
Drake London,WR,65.5
Jalen Hurts,QB,65.9
Malik Nabers,WR,66.0
Austin Ekeler,RB,66.2
Jaylen Warren,RB,66.8
Kyler Murray,QB,68.5
Travis Etienne Jr.,RB,68.7
Tyler Allgeier,RB,71.1
CeeDee Lamb,WR,72.3
Justin Herbert,QB,73.5
Antonio Gibson,RB,75.2
Tyjae Spears,RB,76.3
Mike Evans,WR,78.9
Davante Adams,WR,79.3
Jaxon Smith-Njigba,WR,80.0
Ladd McConkey,WR,80.2
Jerry Jeudy,WR,80.7
Garrett Wilson,WR,80.7
Courtland Sutton,WR,81.6
A.J. Brown,WR,82.2
Geno Smith,QB,82.5
Tee Higgins,WR,83.4
DJ Moore,WR,83.5
Jameson Williams,WR,83.6
Devin Singletary,RB,84.7
Jaleel McLaughlin,RB,85.6
Jordan Addison,WR,87.75
Brock Purdy,QB,88.0
Zack Moss,RB,90.0
Caleb Williams,QB,90.4
Nick Chubb,RB,91.0
Tyreek Hill,WR,91.16666666666667
Aaron Rodgers,QB,91.5
Zay Flowers,WR,91.75
Gus Edwards,RB,92.0
Darnell Mooney,WR,92.0
Nico Collins,WR,92.16666666666667
Puka Nacua,WR,92.71428571428571
Calvin Ridley,WR,93.0
DK Metcalf,WR,93.0
Raheem Mostert,RB,93.0
Marvin Harrison Jr.,WR,93.0
Jakobi Meyers,WR,93.0
Jayden Reed,WR,93.16666666666667
DeVonta Smith,WR,94.66666666666667
